Time,X_pose_uav,Y_pose_uav,Z_pose_uav,R_pose_uav,X_cmd_vel,Y_cmd_vel,Z_cmd_vel,R_cmd_vel
1701197637.1195724,-0.26972311425826034,-0.10233326230540934,-1.4394094466910885,0,0.0,0.0,0.2,0.0
1701197637.154801,-0.26834036351257723,-0.10229773979803265,-1.4383994871695078,0,0.0,0.0,0.2,0.0
1701197637.1873667,-0.2666957584859047,-0.10207993125211222,-1.4339249077490337,0,0.0,0.0,0.2,0.0
1701197637.22249,-0.26926049506472394,-0.10456097751415527,-1.4574979820716065,0,0.0,0.0,0.2,0.0
1701197637.2553248,-0.2636953793252046,-0.10217742064704172,-1.435242142848321,0,0.0,0.0,0.2,0.0
1701197637.2871587,-0.2661048000471246,-0.1027886748750913,-1.4560186974931217,0,0.0,0.0,0.2,0.0
1701197637.3185549,-0.2619214851635165,-0.10184378874638186,-1.4487341440044945,0,0.0,0.0,0.2,0.0
1701197637.3542502,-0.26334333618500255,-0.10154921216877684,-1.469242313581625,0,0.0,0.0,0.2,0.0
1701197637.3897018,-0.26115247890036425,-0.10049569382298612,-1.4662926763967419,0,0.0,0.0,0.2,0.0
1701197637.4498153,-0.2584475238815888,-0.09804960305955833,-1.4675646708598062,0,0.0,0.0,0.2,0.0
1701197637.4655879,-0.25548635803310593,-0.09608373073178741,-1.4573108382335713,0,0.0,0.0,0.2,0.0
1701197637.4888399,-0.25425186456479104,-0.09474689845035446,-1.4700276943569677,0,0.0,0.0,0.2,0.0
1701197637.5225015,-0.2537196038522013,-0.09483089266031722,-1.476996850082037,0,0.0,0.0,0.2,0.0
1701197637.5575926,-0.24917023470826408,-0.09304807399128247,-1.4701101699386274,0,0.0,0.0,0.2,0.0
1701197637.5862036,-0.24861926204600873,-0.09312609588957223,-1.4771112236465913,0,0.0,0.0,0.2,0.0
1701197637.6476452,-0.2475935245479037,-0.09343649038816317,-1.4890144955179827,0,0.0,0.0,0.2,0.0
1701197637.6620083,-0.24359867671587945,-0.09325122085867493,-1.48009319563186,0,0.0,0.0,0.2,0.0
1701197637.687141,-0.24226146313347321,-0.09528250878710467,-1.4910634248145354,0,0.0,0.0,0.2,0.0
1701197637.7226548,-0.23852180273750928,-0.09500960564972545,-1.4804614437640544,0,0.0,0.0,0.2,0.0
1701197637.7811584,-0.2350778001445897,-0.09492313042729854,-1.4778753394185875,0,0.0,0.0,0.2,0.0
1701197637.7949595,-0.23762864186126947,-0.09825167801117302,-1.5115984930445763,0,0.0,0.0,0.2,0.0
1701197637.8237784,-0.2331327996263513,-0.09726897762506134,-1.5015562174737034,0,0.0,0.0,0.2,0.0
1701197637.8565834,-0.22820937755771992,-0.09532337643884425,-1.491063565712447,0,0.0,0.0,0.2,0.0
1701197637.8880293,-0.22544406958267985,-0.09438268858437418,-1.501840522441212,0,0.0,0.0,0.2,0.0
1701197637.9210887,-0.22286248869983,-0.09464097059431471,-1.5045100960685627,0,0.0,0.0,0.2,0.0
1701197637.9592984,-0.22107683732190006,-0.09473441033739156,-1.513103331574633,0,0.0,0.0,0.2,0.0
1701197637.9894524,-0.2183176958029739,-0.09387199080279121,-1.503626713947915,0,0.0,0.0,0.2,0.0
